,ID,NAME,TYPE_ONE,TYPE_TWO,FAST_MOVE,FAST_MOVE_POWER,FAST_MOVE_TYPE,FAST_ENERGY_BOOST,FAST_MOVE_DURATION,CHARGE_MOVE,CHARGE_MOVE_POWER,CHARGED_MOVE_TYPE,CHARGE_MOVE_ENERGY_COST,CHARGE_MOVE_DURATION,DAMAGE WINDOW START
0,0001,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Return,35.0,Normal,33.0,0.7,0.1
15,0001,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
14,0001,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
13,0001,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Seed Bomb,55.0,Grass,33.0,2.1,1.2
12,0001,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
10,0001,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Return,35.0,Normal,33.0,0.7,0.1
9,0001,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Power Whip,90.0,Grass,50.0,2.6,1.25
8,0001,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Seed Bomb,55.0,Grass,33.0,2.1,1.2
11,0001,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Seed Bomb,55.0,Grass,33.0,2.1,1.2
6,0001,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
5,0001,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
4,0001,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Power Whip,90.0,Grass,50.0,2.6,1.25
3,0001,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Seed Bomb,55.0,Grass,33.0,2.1,1.2
2,0001,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
1,0001,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
7,0001,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
25,0002,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
31,0002,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Return,35.0,Normal,33.0,0.7,0.1
30,0002,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Power Whip,90.0,Grass,50.0,2.6,1.25
28,0002,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Solar Beam,180.0,Grass,100.0,4.9,2.7
27,0002,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
26,0002,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Return,35.0,Normal,33.0,0.7,0.1
24,0002,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
29,0002,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Solar Beam,180.0,Grass,100.0,4.9,2.7
22,0002,Shadow Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Power Whip,90.0,Grass,50.0,2.6,1.25
16,0002,Shadow Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
